work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_currency
2021,Mid-level,Full-time,Machine Learning Engineer,74000,USD,74000,Others,Hybrid,JP,Small,
2021,Senior-level,Full-time,Data Science Manager,152000,USD,152000,US,Remote,FR,Large,USD
2021,Entry-level,Full-time,Machine Learning Engineer,21844,USD,21844,Others,Hybrid,CO,Medium,
2021,Mid-level,Full-time,Big Data Engineer,18000,USD,18000,Others,On-site,MD,Small,
2021,Senior-level,Full-time,Data Science Manager,174000,USD,174000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Research Scientist,120500,CAD,96113,CA,Hybrid,CA,Large,CAD
2021,Mid-level,Full-time,Data Scientist,147000,USD,147000,US,Hybrid,US,Large,USD
2021,Entry-level,Full-time,BI Data Analyst,9272,USD,9272,Others,Remote,KE,Small,
2021,Senior-level,Full-time,Machine Learning Engineer,1799997,INR,24342,IN,Remote,IN,Large,INR
2021,Senior-level,Full-time,Data Science Manager,4000000,INR,54094,IN,Hybrid,US,Large,INR
2021,Entry-level,Full-time,Data Science Consultant,90000,USD,90000,US,Remote,US,Small,USD
2021,Mid-level,Full-time,Data Scientist,52000,EUR,61467,DE,Hybrid,AT,Medium,EUR
2021,Senior-level,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,Remote,US,Medium,USD
2021,Mid-level,Full-time,Data Scientist,32000,EUR,37825,Others,Remote,ES,Large,
2021,Senior-level,Full-time,Research Scientist,50000,USD,50000,Others,Remote,US,Small,
2021,Mid-level,Full-time,Data Scientist,160000,USD,160000,US,Remote,US,Large,USD
2021,Mid-level,Full-time,Data Scientist,69600,BRL,12901,Others,On-site,BR,Small,
2021,Senior-level,Full-time,Machine Learning Engineer,200000,USD,200000,US,Remote,US,Large,USD
2021,Senior-level,Full-time,Data Engineer,165000,USD,165000,US,On-site,US,Medium,USD
2021,Mid-level,Freelance,Data Engineer,20000,USD,20000,Others,On-site,US,Large,
